"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.383,0.0017078,0,-0.016565,1,0.11172,0.5,0.079,0.079
-0.38357,0.0016646,0,-0.016871,1,0.11314,0.5,0.08,0.08
-0.38322,0.0016276,0,-0.017193,1,0.11455,0.5,0.081,0.081
-0.38287,0.0015905,0,-0.017515,1,0.11597,0.5,0.082,0.082
-0.38253,0.0015535,0,-0.017837,1,0.11738,0.5,0.083,0.083
-0.38218,0.0015164,0,-0.018159,1,0.11879,0.5,0.084,0.084
-0.38184,0.0014794,0,-0.018481,1,0.12021,0.5,0.085,0.085
-0.38149,0.0014423,0,-0.018802,1,0.12162,0.5,0.086,0.086
-0.38114,0.0014053,0,-0.019124,1,0.12304,0.5,0.087,0.087
-0.3808,0.0013682,0,-0.019446,1,0.12445,0.5,0.088,0.088
-0.38045,0.0013312,0,-0.019768,1,0.12587,0.5,0.089,0.089
-0.38011,0.0012941,0,-0.02009,1,0.12728,0.5,0.09,0.09
-0.37908,0.0012566,0,-0.020413,1,0.12869,0.5,0.091,0.091
-0.37805,0.0012191,0,-0.020735,1,0.13011,0.5,0.092,0.092
-0.37702,0.0011816,0,-0.021057,1,0.13152,0.5,0.093,0.093
-0.376,0.0011441,0,-0.02138,1,0.13294,0.5,0.094,0.094
-0.37497,0.0011066,0,-0.021702,1,0.13435,0.5,0.095,0.095
-0.37394,0.001069,0,-0.022025,1,0.13576,0.5,0.096,0.096
-0.37291,0.0010315,0,-0.022347,1,0.13718,0.5,0.097,0.097
-0.37189,0.00099403,0,-0.02267,1,0.13859,0.5,0.098,0.098
-0.37086,0.00095652,0,-0.022992,1,0.14001,0.5,0.099,0.099
-0.36983,0.00091901,0,-0.023315,1,0.14142,0.5,0.1,0.1
-0.3684,0.00087923,0,-0.023627,1,0.14284,0.5,0.101,0.101
-0.36697,0.00083944,0,-0.023939,1,0.14425,0.5,0.102,0.102
-0.36554,0.00079966,0,-0.024252,1,0.14566,0.5,0.103,0.103
-0.36411,0.00075988,0,-0.024564,1,0.14708,0.5,0.104,0.104
-0.36268,0.00072009,0,-0.024876,1,0.14849,0.5,0.105,0.105
-0.36125,0.00068031,0,-0.025189,1,0.14991,0.5,0.106,0.106
-0.35982,0.00064053,0,-0.025501,1,0.15132,0.5,0.107,0.107
-0.35838,0.00060074,0,-0.025813,1,0.15274,0.5,0.108,0.108
-0.35695,0.00056096,0,-0.026126,1,0.15415,0.5,0.109,0.109
-0.35552,0.00052117,0,-0.026438,1,0.15556,0.5,0.11,0.11
-0.35394,0.00048075,0,-0.026734,1,0.15698,0.5,0.111,0.111
-0.35235,0.00044033,0,-0.027031,1,0.15839,0.5,0.112,0.112
-0.35076,0.00039991,0,-0.027328,1,0.15981,0.5,0.113,0.113
-0.34917,0.00035949,0,-0.027624,1,0.16122,0.5,0.114,0.114
-0.34759,0.00031907,0,-0.027921,1,0.16263,0.5,0.115,0.115
-0.346,0.00027865,0,-0.028217,1,0.16405,0.5,0.116,0.116
-0.34441,0.00023823,0,-0.028514,1,0.16546,0.5,0.117,0.117
-0.34282,0.00019781,0,-0.028811,1,0.16688,0.5,0.118,0.118
-0.34124,0.00015739,0,-0.029107,1,0.16829,0.5,0.119,0.119
-0.33965,0.00011696,0,-0.029404,1,0.16971,0.5,0.12,0.12
-0.33808,7.8685e-05,0,-0.029683,1,0.17112,0.5,0.121,0.121
-0.3365,4.0405e-05,0,-0.029963,1,0.17253,0.5,0.122,0.122
-0.33493,2.1255e-06,0,-0.030242,1,0.17395,0.5,0.123,0.123
-0.33336,-3.6154e-05,0,-0.030521,1,0.17536,0.5,0.124,0.124
-0.33179,-7.4434e-05,0,-0.030801,1,0.17678,0.5,0.125,0.125
-0.33021,-0.00011271,0,-0.03108,1,0.17819,0.5,0.126,0.126
-0.32864,-0.00015099,0,-0.03136,1,0.17961,0.5,0.127,0.127
-0.32707,-0.00018927,0,-0.031639,1,0.18102,0.5,0.128,0.128
-0.32549,-0.00022755,0,-0.031918,1,0.18243,0.5,0.129,0.129
-0.32392,-0.00026583,0,-0.032198,1,0.18385,0.5,0.13,0.13
-0.32245,-0.00029798,0,-0.032461,1,0.18526,0.5,0.131,0.131
-0.32098,-0.00033014,0,-0.032724,1,0.18668,0.5,0.132,0.132
-0.31951,-0.00036229,0,-0.032986,1,0.18809,0.5,0.133,0.133
-0.31805,-0.00039444,0,-0.033249,1,0.1895,0.5,0.134,0.134
-0.31658,-0.00042659,0,-0.033512,1,0.19092,0.5,0.135,0.135
-0.31511,-0.00045874,0,-0.033775,1,0.19233,0.5,0.136,0.136
-0.31364,-0.00049089,0,-0.034038,1,0.19375,0.5,0.137,0.137
-0.31217,-0.00052305,0,-0.034301,1,0.19516,0.5,0.138,0.138
-0.3107,-0.0005552,0,-0.034564,1,0.19658,0.5,0.139,0.139
-0.30923,-0.00058735,0,-0.034827,1,0.19799,0.5,0.14,0.14
-0.3079,-0.00060945,0,-0.035075,1,0.1994,0.5,0.141,0.141
-0.30656,-0.00063154,0,-0.035323,1,0.20082,0.5,0.142,0.142
-0.30523,-0.00065364,0,-0.035571,1,0.20223,0.5,0.143,0.143
-0.30389,-0.00067573,0,-0.035819,1,0.20365,0.5,0.144,0.144
-0.30256,-0.00069783,0,-0.036067,1,0.20506,0.5,0.145,0.145
-0.30122,-0.00071993,0,-0.036316,1,0.20648,0.5,0.146,0.146
-0.29988,-0.00074202,0,-0.036564,1,0.20789,0.5,0.147,0.147
-0.29855,-0.00076412,0,-0.036812,1,0.2093,0.5,0.148,0.148
-0.29721,-0.00078621,0,-0.03706,1,0.21072,0.5,0.149,0.149
-0.29588,-0.00080831,0,-0.037308,1,0.21213,0.5,0.15,0.15
-0.29467,-0.00081833,0,-0.037543,1,0.21355,0.5,0.151,0.151
-0.29346,-0.00082835,0,-0.037779,1,0.21496,0.5,0.152,0.152
-0.29225,-0.00083837,0,-0.038014,1,0.21637,0.5,0.153,0.153
-0.29104,-0.00084839,0,-0.038249,1,0.21779,0.5,0.154,0.154
-0.28983,-0.00085841,0,-0.038485,1,0.2192,0.5,0.155,0.155
-0.28863,-0.00086843,0,-0.03872,1,0.22062,0.5,0.156,0.156
-0.28742,-0.00087845,0,-0.038955,1,0.22203,0.5,0.157,0.157
-0.28621,-0.00088847,0,-0.039191,1,0.22345,0.5,0.158,0.158
-0.285,-0.00089849,0,-0.039426,1,0.22486,0.5,0.159,0.159
-0.28379,-0.00090851,0,-0.039661,1,0.22627,0.5,0.16,0.16
-0.28268,-0.00090599,0,-0.039885,1,0.22769,0.5,0.161,0.161
-0.28158,-0.00090348,0,-0.040109,1,0.2291,0.5,0.162,0.162
-0.28047,-0.00090096,0,-0.040333,1,0.23052,0.5,0.163,0.163
-0.27937,-0.00089844,0,-0.040557,1,0.23193,0.5,0.164,0.164
-0.27826,-0.00089593,0,-0.040782,1,0.23335,0.5,0.165,0.165
-0.27716,-0.00089341,0,-0.041006,1,0.23476,0.5,0.166,0.166
-0.27605,-0.0008909,0,-0.04123,1,0.23617,0.5,0.167,0.167
-0.27495,-0.00088838,0,-0.041454,1,0.23759,0.5,0.168,0.168
-0.27384,-0.00088587,0,-0.041678,1,0.239,0.5,0.169,0.169
-0.27274,-0.00088335,0,-0.041902,1,0.24042,0.5,0.17,0.17
